name,province_id,
Bulawayo,1,
Harare,2,
Buhera,3,
Chimanimani,3,
Chipinge,3,
Makoni,3,
Mutare,3,
Mutasa,3,
Nyanga,3,
Bindura,4,
Guruve,4,
Mazowe,4,
Mbire,4,
Mount Darwin,4,
Muzarabani,4,
Mukumbura,4,
Rushinga,4,
Shamva,4,
Chikomba,5,
Goromonzi,5,
Marondera,5,
Mudzi,5,
Murehwa,5,
Mutoko,5,
Seke,5,
UMP,5,
Wedza,5,
Chegutu,6,
Hurungwe,6,
Kariba,6,
Makonde,6,
Mhondoro-Ngezi,6,
Sanyati,6,
Zvimba,6,
Kadoma,6,
Chinhoyi,6,
Bikita,7,
Chiredzi,7,
Chivi,7,
Gutu,7,
Masvingo,7,
Mwenezi,7,
Zaka,7,
Binga,8,
Bubi,8,
Hwange,8,
Lupane,8,
Nkayi,8,
Tsholotsho,8,
Umguza,8,
Beitbridge,9,
Bulilima,9,
Gwanda,9,
Insiza,9,
Mangwe,9,
Matobo,9,
Umzingwane,9,
Chirumhanzu,10,
Gokwe North,10,
Gokwe South,10,
Gweru,10,
Kwekwe,10,
Mberengwa,10,
Shurugwi,10,
Zvishavane,10,